,0
0,7074.630860331726
1,6953.318872264572
2,6850.23276604907
3,7021.632473074244
4,8547.816130987087
5,8137.781730828245
6,7840.181692097767
7,7538.270573970074
8,7677.240165799649
9,6957.082456928538
10,6979.7947172598315
11,9247.15509225846
12,9896.471096307832
13,9760.163494470207
14,10623.677189272024
15,10849.327968462829
16,11442.908741387148
17,11590.95049083867
18,11556.48846081437
19,11488.91425899984
20,11654.86619220084
21,11235.586793088512
22,10716.551954965837
23,9976.693682985533
24,9537.944180993038
25,8835.730803247874
26,8873.740197301351
27,7238.8740729464225
28,6893.584127750787
29,6796.665086880109
30,6641.451604962575
31,6824.5935701795925
32,6449.819969085196
33,6637.152169160217
34,6642.853398545204
35,6758.476722478808
36,6422.701222539219
37,5583.448002160761
38,4868.243782687403
39,5176.286589908006
40,5671.878386193314
41,6419.961721228492
42,7021.130216318365
43,7765.891578442176
44,7533.8564840885665
45,7597.721125675941
46,7576.500090337886
47,8062.828393094242
48,7917.644470297992
49,7793.478680142653
50,7327.075901506893
51,6870.993971556034
52,6550.67881535885
53,6366.7524743053555
54,5773.016571216874
55,5626.816998225132
56,4870.670181895335
57,4214.799448380633
58,3569.9726185025393
59,3023.735239889385
60,2337.1696093922
61,2203.358698438038
62,2012.8692101224085
63,2709.9515566897053
64,2361.7991919168203
65,2412.573913693136
66,2164.833821856691
67,2668.4236003753267
68,4371.614062839139
69,4875.715852312508
70,4706.399119890833
71,4691.005550167995
72,4675.818078218457
73,4907.334325997662
74,4796.089915385911
75,4642.265062722786
76,3889.7016318336864
77,4016.82154639646
78,4363.85064220664
79,3378.329001089556
80,3175.7752892151325
81,3316.448424993191
82,2370.2379717727626
83,2084.7113117231547
84,2343.4645545881617
85,3759.812123872693
86,5340.909601840349
87,6177.650570700002
88,6507.170894925263
89,6683.6621555045895
90,7056.972718936298
91,7084.634152240339
92,7039.3073578976255
93,7369.1880498475375
94,7073.750186743077
95,7570.869290876918
96,7588.6736838114075
97,7362.073337202241
98,7339.557896634626
99,7449.324215859471
100,7415.120280400796
101,6628.2454028124075
102,7489.916706101238
103,8227.023372347669
104,7691.097779463001
105,7154.655613423503
106,7066.422310290662
107,6399.056092134693
108,6087.462326424234
109,5642.342672058457
110,4828.607756927439
111,4604.3519664214755
112,4018.5441379143654
113,3505.2376873240405
114,3637.8028565163204
115,2719.902390977703
116,2088.954019562721
117,2453.945234470932
118,2397.3887919678896
119,2073.84224634068
120,2192.741951906592
121,1847.6423287957143
122,1700.3523285375713
123,1457.0188765252396
