,jeju_solar,jeju_wind,land_solar,land_wind
5472,0.018575361,24.63591169,12.68694589,6885.985207
5473,0.018575361,50.93078192,2.006053047,6648.29893
5474,0.018575361,51.50364697,0.435888017,6180.162454
5475,0.002653623,48.66239016,0.135954452,5790.424913
5476,0,72.12560863,3.305018502,5234.305947
5477,0.06010456,41.65417136,4.055773296,4626.905349
5478,14.61675785,31.01764483,207.1583747,4792.092199
5479,93.09723949,25.58115537,1199.825605,4984.683157
5480,207.8837888,3.410992804,2561.628258,4691.663475
5481,308.8841284,1.66681748,3651.254507,4828.103334
5482,375.5607422,5.554210289,3364.173429,4388.934371
5483,404.4943682,12.32557724,3666.644934,4128.854588
5484,405.2529533,21.35021118,3751.911005,4301.779898
5485,403.1833955,58.35622105,3709.16509,5050.881264
5486,380.1990402,51.04113706,3692.398935,5380.049469
5487,324.7041246,42.58366083,3379.901119,5087.904931
5488,219.5439878,34.16288289,2603.043559,4358.358782
5489,113.2848199,26.73711694,1806.845168,4132.621383
5490,38.95200346,17.76354347,1426.551602,3768.866985
5491,15.14157813,15.79094417,1235.649214,3629.611941
5492,10.15438679,11.53453178,945.1273151,3750.179676
5493,3.411232314,6.925598455,643.2787367,4105.812943
5494,1.956604662,8.71693958,267.0138963,3836.33664
5495,0.068994197,8.390080522,72.85039346,4116.857077
5496,0.018575361,16.1497565,19.22692124,4190.382569
5497,0.087680125,10.81660753,1.620191291,4163.303884
5498,0.010614492,9.069524063,1.378820806,3459.437807
5499,0,4.014134632,0.530116585,3337.996956
5500,0,5.691428693,3.668069777,3175.4042
5501,0.049407142,5.823587351,4.62642733,3628.866613
5502,8.235372352,6.655334727,202.1146574,3296.177157
5503,60.55814712,10.78325012,1118.942543,2529.153118
5504,163.0417154,15.07421828,2590.458152,2117.020582
5505,226.5851828,17.82367336,4052.480955,1855.190758
5506,256.5672109,18.90622018,3951.539815,1658.823297
5507,254.8985188,16.1076686,4429.243697,1249.578541
5508,236.0030925,14.61473454,4636.89554,1037.037237
5509,201.71602,28.16465861,4764.035259,1498.283224
5510,154.9749255,32.43341775,4927.221004,1508.886422
5511,127.2047972,17.27956898,4554.768669,1133.453928
5512,149.5790541,5.801505428,3482.763862,527.9306368
5513,84.99126166,2.980248544,2328.581172,253.0588491
5514,26.2833725,11.03848289,1552.792205,153.5621652
5515,12.90090866,19.14238508,1322.262818,179.2016836
5516,6.808566278,21.92667131,1189.63552,153.3507832
5517,0.440833114,18.56712633,755.051972,217.6728583
5518,0.15214105,17.94090698,318.843588,207.5715022
5519,0.018575361,19.37286383,85.61320629,179.9146925
5520,0.018575361,10.01437736,22.94545283,148.3934843
