,0
0,292.64977182220406
1,312.5584090010064
2,350.86735822023064
3,410.9421713970539
4,518.8063535027591
5,543.6279990707607
6,445.8138818873588
7,369.4551804939248
8,310.66210838569395
9,319.0722372476919
10,348.1210321954911
11,386.78487788708185
12,415.6210333312847
13,466.63906865062853
14,542.0064802478337
15,578.4261465273094
16,596.3456766767457
17,584.9316619000089
18,589.0788993528497
19,607.9733628791864
20,590.2097770407261
21,487.3544419551408
22,459.20717471104194
23,408.89885365615316
24,421.55269409646576
25,459.18086826271247
26,440.6897743123129
27,436.9986010385107
28,388.2737992584441
29,370.1986697807893
30,362.87533646784135
31,324.37029783887954
32,313.08855368793684
33,308.4374658918365
34,345.92819771709344
35,347.1539365847443
36,346.1700003683432
37,429.6209208366236
38,417.52791947015123
39,380.66173656075455
40,381.72823865041227
41,434.5552485549935
42,478.99691085897905
43,471.49383245096345
44,443.68408241628913
45,355.45929660426987
46,262.3916095569048
47,249.9022683947171
48,279.4361908057786
49,291.1103528431952
50,365.1726008582833
51,368.1841157338228
52,412.4981646792379
53,329.9822140589682
54,354.52729542367103
55,397.4277684423928
56,415.5138314525237
57,443.69658350199586
58,444.30447035590936
59,383.1786399733695
60,373.27358885573034
61,326.08014435234327
62,186.96378966319068
63,135.46632817457433
64,132.98079398356106
65,74.22734647379156
66,133.5880907353897
67,193.4853769957518
68,151.2821807052336
69,109.82110890137308
70,76.89944976090585
71,72.05685114201387
72,58.46208536187974
73,35.33035598769442
74,20.983933302607674
75,17.453924473609213
76,18.205635849523517
77,8.090160380729825
78,15.968104920898538
79,38.37241394191662
80,7.696059946772658
81,1.6507364415417762
82,7.70706913336215
83,6.666156291038276
84,52.18134138640985
85,37.562515474264345
86,62.07100445737289
87,128.61839623206342
88,161.6823062889716
89,181.10444817814042
90,175.00135216571323
91,138.8085241538467
92,137.46734316139757
93,116.9617798966386
94,200.50618463982903
95,208.7375549363987
96,246.94302748540824
97,313.9932951783768
98,397.52460268144637
99,403.34719745051103
100,418.3707940527749
