,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-05-20,2.160192,0.8870399999999999,1.0596,0.98136,0.32556,9.425147,149.445479,509.13025,860.2175619999999,1105.123461,1147.116097,1180.629783,1075.988728,915.530342,639.104684,440.90334800000005,347.153536,253.23044199999998,184.285978,126.197724,106.81031100000001,78.466034,41.660008000000005,8.271456
2018-05-21,4.554583999999999,1.28138,0.69996,0.21468,0.11924000000000001,6.258794,116.56563999999999,429.16209000000003,762.8715540000001,1041.3624810000001,1116.650242,1221.400969,1257.270595,1158.0284390000002,985.209013,772.4159530000001,557.174582,326.63685699999996,211.699492,129.68823600000002,107.87588400000001,80.130115,46.693123,10.363632
2018-05-22,4.303496,4.548080000000001,2.4395599999999997,0.01464,0.01548,10.371496,138.840443,421.23123200000003,759.77265,1016.8753859999999,1030.302853,1117.9425800000001,1050.225705,854.6211519999999,565.828511,368.07855,207.277974,107.97485900000001,111.830454,108.434992,100.88624300000001,72.47933499999999,37.719181,9.407596
2018-05-23,4.013096,0.65154,0.43976000000000004,0.09852000000000001,0.0144,1.47597,62.897107,302.424827,731.509594,1161.072954,1333.78058,1493.66315,1551.9672970000001,1537.980581,1470.323479,1281.91823,960.074963,550.661146,246.457862,138.744858,121.039829,92.844045,52.750376,13.997420000000002
2018-05-24,5.509068,5.5644,4.33988,0.29652,0.0144,11.25272,151.557615,500.394209,919.1051289999999,1232.946071,1317.8020279999998,1432.6192529999998,1468.6952039999999,1434.427686,1331.496866,1138.098485,832.2914519999999,478.25789000000003,249.620296,142.372264,120.871701,95.499388,54.57164,13.302748000000001
2018-05-25,5.2371360000000005,5.30328,3.5198400000000003,0.728784,0.29312,11.006167999999999,151.492185,505.829029,912.623375,1196.771142,1219.6130660000001,1313.6768710000001,1328.6018080000001,1182.410034,953.768259,733.995146,530.543049,338.3221,213.20156400000002,142.909803,122.49138899999998,95.043479,52.09892,11.480675999999999
2018-05-26,4.9247559999999995,4.36724,0.62836,0.1376,0.03348,10.037867,141.795847,494.48904400000004,888.803791,1198.142711,1273.93109,1383.055122,1435.190513,1419.774561,1355.227408,1188.910236,884.1406720000001,508.670392,243.91647700000001,142.704164,123.450473,96.5796,55.259294999999995,13.940044
2018-05-27,4.523251999999999,2.72676,0.41531999999999997,0.0516,0.0,10.883695,137.294679,346.084953,578.5964,744.915527,785.57978,835.5126650000001,873.460907,760.530065,635.639679,486.47791399999994,367.476752,237.24969,180.394422,132.385375,104.81406899999999,61.753280000000004,17.931516000000002,4.282144000000001
2018-05-28,0.285688,0.67532,0.48328000000000004,0.16492,0.0144,8.137483,116.41511399999999,363.98970299999996,678.5342410000001,938.7067519999999,980.3380880000001,1029.195217,1053.423082,997.043707,912.4785630000001,737.922722,549.502213,324.97812999999996,203.680709,109.90966599999999,67.973832,37.869752000000005,17.832756,5.029456
2018-05-29,0.5823,0.5980800000000001,0.4228,0.08552,0.00047999999999999996,5.205478,92.941953,279.548947,570.602437,856.9220849999999,952.21395,1064.369381,1125.289651,1141.121974,1002.15655,798.8417360000001,573.379491,304.884307,184.13396799999998,139.12038,127.239652,94.20441600000001,50.762296,9.922424000000001
